Tweet;label
Min, normal ke kalau iPhone 11/11 Pro /Pro Max baru pakai beberapa bulan battery capacity dah drop to 96%?;baterai negatif
Kmera iphone 11 mmeng beda;kamera positif
Iphone 11 pro max kamera depannya jelek ye? Gua liat liat para usernya kalo pada selfie harus foto didepan cermin pake kamera belakang soalnya;kamera negatif
Apple meluncurkan iPhone 11 dengan peningkatan daya tahan baterai yang lebih besar, sayangnya itu tak berlaku untuk pembaruan software Apple.  https://inet.detik.com/consumer/d-5085002/pengguna-iphone-protes-baterai-boros-saat-update-ios-1351?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1594197912Ã‚Â Ã¢â‚¬Â¦;baterai positif
xs max, senderrr. tapi rugi sih kalo kamu beli xs max baru sekarang.. i mean langsung ke iphone 11 juga gapapa sebenernya secara speknya lebih bagus terussss harganya gak jauh beda.;spesifikasi  positif
Saya juga dulu confuse nak pilih iphone 11 or iphone xs. Dah review all spec keduanya. Tp sbb kurang minat dengan bentuk kamera iphone 11 akhirnya saya memilih iphone xsÃ°Å¸ËœÂ¹ (juga disebabkan crush saya memakai iphone xs max, konon nak matching ekekekeke)  https://twitter.com/XavierNaxa/status/1270713421353242627Ã‚Â Ã¢â‚¬Â¦;kamera negatif
Hasil kamera xiaomi note 10 bisa di adulah sama iphone 11 promax Ã°Å¸ËœÂÃ°Å¸Â¤Â©, sejauh yang pernah sya gunakan ini better sih darpda iphone 11 promax  pic.twitter.com/F05lktSe5w;kamera negatif
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif, spesifikasi positif
Cantik babi purple iphone 11 ni sialla apahal aku tk kayaaaaaa.;general positif
Persahabatan memang lebih indah kalau diabadikan dengan kamera belakang iPhone 11 Pro Max.;kamera positif
Iphone 11 pun menarik;general positif
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. Harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225Ã‚Â Ã¢â‚¬Â¦;harga negatif
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËœÂ 
beliin ya Allah";general positif
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸â€œÂ±Ã°Å¸â€™Å“ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. Kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,baterai positif,spesifikasi positif
Iphone 11 terbaik;general positif
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370Ã‚Â Ã¢â‚¬Â¦;baterai negatif
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëœâ€¦;general positif
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËœÂ;general positif,harga negatif
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi  positif
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif
Iphone 11 aja yg purple lucu bgt :(;general positif
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸â€˜â€¹Ã°Å¸â€˜â€¹Ã°Å¸â€˜â€¹ Ã°Å¸Ëœâ€š  pic.twitter.com/1uAKqTbAwb";harga negatif
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif
wowowoowow iphone iphone iphone 11 pro;kamera positif
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kemera positif
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";general positif
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­;general positif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif
iPhone 11 Pro Max irit kok.;baterai positif
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëœâ€š  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;kamera negatif
Iphone 11 lh, battery dia tahan sikit;baterai positif
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kamera positif
dosenku iphone 11 ganti jd samsung s20 nder, brrti iphone bosenin wkwk;general negatif
try pakai iphone 11 dulu bro, serius best camera dia huhu;kamera positif
Knp iphone 11 aku tiba2 blank dekat sejam, smpai aku terpaksa letak dlm beras sbb dia blank dan phone jd panas lepas sejam letak dlm beras phone nyala lepastu battery habis padahal sblm padam tu battery full kot..adakah ini normal??;baterai negatif,spesifikasi negatif
Iyaaa kan. Cakep banget iPhone 11 Pro & 11 Pro Max Ã°Å¸Â¤Â©;general positif
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";kamera positif,general negatif
android baterai nya tahan lama, iphone boros kcuali iphone 11;baterai positif
"@iphonefess halo sore ka, mau nanya nih. iPhone 11 Pro Max ku kemarin kehabisan baterai, terus aku charger eh jadi lama banget. Seharian cuma masuk sekitar 40%. Lambang charging nyala, n semua normal ngga panas. Kira2 apanya ka?
Tolong dibantu ya, tks Ã°Å";baterai negatif
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëœâ€   https://twitter.com/GamesMenfess/status/1274142447451295745Ã‚Â Ã¢â‚¬Â¦;baterai positif, spesifikasi positif,general positif
"Iphone x max bagus kameranya iphone 11 jg bagus hehehe ...
Gua selfie pake hp itu cakep.

Tp gua selfie pake hp gua ini jele Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£";kamera positif
iphone 11 promax kamera bgus hp bgus;kamera positif
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;kamera positif,spesifikasi positif
pake iphone 11 kakak biar videonya makin cetar;kamera positif
belilah fast charging for Iphone 11 sbb 5 watt charger yang dibekalkan amatlah slow;general negatif
Kl aku pake seperlunya, buat medsos, foto, urusin online shop masih aman sih. Kualitas kamera jg bagus. Tp kl cari yg nilainya masih tinggi tahun2 ke depannya yaa iphone 11, kl ip x aja skrg 7 jt udh dapet.;kamera positif
yaallah tergoda iphone 11 warna biru. eh apase warna sebenere. pokok biru jareku;general positif
Haih cantiknya camera depan iphone 11 Ã°Å¸ËœÅ’;kamera positif
"Beli iphone 11 kemaren niat nya cuman mau beli mouse buat laptop, trus iseng nanya Ã¢â‚¬Å“ini berapa bang? Yg warna itu? Ternyata dikasih 11 pro biasa kecil ga sadar.
2hari kmudian nanya ke salesnya Ã¢â‚¬Å“kok kecil ku mau yg max brp? Ã¢â‚¬Å“Ydh ambil silver 256gb.

Riyalife tamat.";general negatif
iPhone 11 yang warna ungu cakep kali:( blm move on Ã°Å¸Â¥Âº;general positif
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai positif
IPHONE 11 GUE GAK BOLEH DIPAKE MAIN RP ANJRIT.;spesifikasi negatif
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104Ã‚Â Ã¢â‚¬Â¦;general negatif
"Sejak p10 sebenernya sdh gak kekejar sama iphone, tp sejak iphone 11 pro sptnya apple sdh mulai mau ngejar sih secara kualitas foto kalau dicetak.
Jeleknya kalau skrg jalan2 jadi males bawa kamera beneran, karena kamera hpku sdh pada bisa diandalkanÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸ËœÂ";kamera positif
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃ‚Â  #LatestNews #OS #apple #iOS #iphone11;baterai negatif
Charge iphone 11 lambat nya minta ampooon Ã°Å¸Ëœâ€˜;general positif
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-Ã‚Â Ã¢â‚¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;baterai negatif
Iphone 11 warna mintÃ°Å¸ËœÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­;general positif
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;baterai positif,spesifikasi positif
Pengen iphone 11 yg warna kuning;general positif
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËœÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;kamera positif
IPHONE 11 PRO TU- MAHAL WEH-;harga negatif
Oh terus kalo iphone kameranya yang bisa selfie wide baru iphone 11, lu samsung aja biar kalo kita selfie bareng gampang WKWKWKWKWK;kamera positif
Kabarnya #Apple akan membekali #iPhone 12 dengan baterai berkapasitas yang lebih besar dari iPhone 11 Pro Max.   https://www.tagar.id/iphone-12-akan-gendong-baterai-kapasitas-besar/?source=twitterÃ‚Â Ã¢â‚¬Â¦;baterai positif
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€š tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëœâ€¹Ã°Å¸Ëœâ€¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";baterai positif
iphone 11 camera sampah haha kalau 11 pro, pro max okay. iphone bab video dia power, kalau bab gambar huawei power lagi.;kamera negatif
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;spesifikasi positif,general negatif
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;harga positif
iphone 11 pro dipegang park haejin jadi kaya kecil bangett  pic.twitter.com/DLw5NdEgau;general negatif
iPhone 11 biar fotonya bagus *LXC*  https://twitter.com/oliviabyexxyx/status/1267809902661009411Ã‚Â Ã¢â‚¬Â¦;kamera positif
Beda market man, jelas. Iphone 11 bukan buat fanboy, ngincer user yg baru mau masuk atau naik ke touch id less tp ga mikirin kualitas bahan sih;general negatif
Ambil iphone 11. Saya baru tukar ke iphone SE dari Huawei P20. Battery agak mengecewakan tapi performance lain sangat superb.;baterai negatif
Jd pengen iphone 11. Cakep banget gambarnya;kamera positif
Tergantung kebutuhan, tp kalo buat sehari2 ya pilih iphone 11 pro max ajah.;general positif
Aku merasa hpku mulai kehilangan ketajaman kameranya. Apakah ini tandanya buat upgrade?? Ya abis beda banget bandingin sm iPhone 11 punya ponakan, bening bener dah gambarnya.;kamera positif
Iphone 11 yg ungu cute bgt astaga :');general positif
wah cantiknya camera iphone 11 Ã°Å¸â€˜ÂÃ°Å¸â€˜â€Ã°Å¸â€˜Â;kamera positif
nak iphone 11 warna hijau tuÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­;general positif
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone";baterai positif
iphone 11 megapro ini selain kameranya apanya dah yang unggul? perasaan wa migrasi dari 7 ke x ga banyak kemajuan;kamera positif
kamera iphone 11 lebih jernih daripada mataku;kamera positif
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â‚¬Ëœno serviceÃ¢â‚¬â„¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;spesifikasi negatif
"Ampe ntar android jg kebagian... 

Pembedanya nanti kualitas voice record nya aja.. iPhone 11 pro dan max emang cakep hasil record nya";general positif
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;spesifikasi positif,general negatif
Iyaaa iPhone 11 Purple & Green emang paling favorit sih. Cakep banget warnanya, kak Ã°Å¸Â¥Â°Ã°Å¸Â¤Â©;general positif
Worth it bgt ni iphone11, nonton youtube puas bgt serasa nonton d tipi. Quality gambar ama speakernya bagus bgttt Ã°Å¸Ëœâ€ Ã°Å¸Ëœâ€ Ã°Å¸Ëœâ€ ;kamera positif,general positif
Iphone 11 kameranya gaada obat;kamera positif
Baru iphone 11 keatas yg ada pake slowmo di kamera depan;kamera positif
Iphone 11 pro max ccd banget ngentot!!!!;general positif
Terus juga banyak yg blg iphone 11 itu kamera depannya kurang. Coba aja cari di youtube bnyak yg bahas.;kamera negatif
Iphone 11 udah bagus kok batrenya, atau iphone XR awet batrenya;baterai positif
Spesifikasi semuanya sih worth it sih tergantung kemampuan duit masing masing. Cuma kalau ngurusin kamera saat low-light mungkin iPhone 11 lebih baik.;kamera positif
Aku pengen iphone 11 minn biar makin cakeppp kalo mau foto produkÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ #ReaquestGAShopee;kamera positif
KAMERA IPHONE 11 KEREN PARAHHH;kamera positif
WARNA BIRU BUAT SIS KELIRU Ã°Å¸Â¤Â¯ CANTIK KAN IPHONE 11 ? NAKKAN IPHONE YG HARGA MURAH N ORIGINAL ? BELI SEKARANG DI @waynegadgett . SELLER PERAMAH N BERKOMITED MEMASTIKAN IPHONE HAMPA CLEAR DARI SEBARANG VIRUSÃ¢Ââ€”Ã¢Ââ€” pic.twitter.com/evRYfyTuuM;general positif
Terbaik bro ! Apa apa pun iphone 11 mmg terbaik for midrange phone Ã°Å¸Ëœâ€”;general positif
Fitur NFC di iPhone kini bisa digunakan untuk mengecek saldo hingga melakukan top-up e-money Bank Mandiri. #iPhone11 #NFC pic.twitter.com/ZHfVdQxkms;spesifikasi positif
"Bagi memastikan rakan saya membuat pilihan yang tepat. Perkara utama yang harus difahami adalah iPhone 11 adalah model berkelas separa mercu dan iPhone XS mercu. 

Namun iPhone 11 mempunyai kelebihan dari segi cip A13 Bionic dan dilancarkan pada tahun 2019.";spesifikasi positif
"Pengen banget ganti iphone ke iphone 11 pro max

Tapi kok sayang banget duitnya yah keadaan masih kek gini..

Musti gimana yah biar bisa dapet pemasukan tambahan..?? Ada yang punya ide kah..?? Ã¢â‚¬â€ Buat bisnis  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM7CADDPY3R73OLBX7D7SLNZN62UYY2Z2JFREM2RZ3KK3PYEIBJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSXYKHYE3DKHNFMLBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ====Ã‚Â Ã¢â‚¬Â¦";harga negatif
"prefer iphone 11 sbb future proof, battery pun tahan sehari, ada 2 camera belakang, and chipset dia antara the best in the market

Ip X boleh je but banyak masalah sbb first model iphone yg fullscreen

ip xr pun ok tapi kekurangan, screen tak secantik ip 11 dan 1 camera belakang";kamera positif,spesifikasi positif
iphone 11 bagus yg purple apa yg tosca??,,plss bantu jawab Ã°Å¸ËœÆ’Ã°Å¸Ëœâ€;general positif
iphone 11 cantik2 warnanyaÃ°Å¸Â¥Âº;general positif
Iphone 11 promax, soalnya keren banget apalagi warna warnanya menly;general positif
Bjingan buka twitter di iphone 11 tapi di safarinya ya giniÃ°Å¸â„¢â€š;spesifikasi negatif
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";kamera positif
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;general positif,kamera positif
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. Kamera blkg sama2 12MP;kamera positif,baterai positif
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif
iPhone 11 kok lemot;spesifikasi negatif
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;general positif
Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëœâ€¹;harga positif
"Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik

iPhone XS
Kelebihan :
1. OLED

iPhone 11
Kelebihan :
1. A13 Bionic
2. Ultra Wide lens
3. Night mode, Deep Fusion
4. Bateri tahan lebih lama  https://twitter.com/XavierNaxa/status/1270713421353242627Ã‚Â Ã¢â‚¬Â¦";baterai positif
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;harga negatif
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif,spesifikasi positif
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491Ã‚Â Ã¢â‚¬Â¦;general positif
iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;general positif
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;kamera negatif
Iphone 11 kameranya kenapa aneh banget si;kamera positif
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;general positif
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif
Kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;general negatif
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif
sistem operasinya sangat lancar anti lemot;spesifikasi positif
desainnya emang paling unik dan simpel;general positif
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif
selalu suka dan nyaman banget menggunakan Iphone;general positif
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif, harga positif
